,glofasStation,placeCode
764,no_station,ET041308
765,no_station,ET010309
766,no_station,ET070804
767,no_station,ET041701
768,no_station,ET040808
769,no_station,ET040903
770,no_station,ET041797
771,no_station,ET070502
772,no_station,ET071402
773,no_station,ET040517
774,no_station,ET071503
775,no_station,ET040608
776,no_station,ET150207
777,no_station,ET030997
778,no_station,ET070613
779,no_station,ET071707
780,no_station,ET030293
781,no_station,ET070114
782,G5173,ET041212
783,no_station,ET030808
784,no_station,ET010413
785,no_station,ET040216
786,no_station,ET031125
787,no_station,ET040614
788,no_station,ET040415
789,no_station,ET072009
790,no_station,ET031116
791,no_station,ET070605
792,no_station,ET070711
793,G6109,ET072401
794,no_station,ET041303
795,no_station,ET050382
796,G4979,ET070501
797,no_station,ET140107
798,no_station,ET030119
799,no_station,ET040601
800,no_station,ET030415
801,no_station,ET071701
802,no_station,ET041298
803,G1045,ET030422
804,no_station,ET040806
805,no_station,ET010318
806,no_station,ET041408
807,no_station,ET040206
808,no_station,ET160013
809,no_station,ET041404
810,no_station,ET040309
811,no_station,ET071710
812,no_station,ET040312
813,no_station,ET020501
814,no_station,ET071404
815,no_station,ET042106
816,no_station,ET031122
817,no_station,ET010509
818,no_station,ET050502
819,no_station,ET071303
820,no_station,ET010221
821,no_station,ET030410
822,no_station,ET050297
823,no_station,ET020202
824,no_station,ET041811
825,G4965,ET030202
826,no_station,ET071702
827,no_station,ET030409
828,no_station,ET040501
829,no_station,ET160020
830,no_station,ET031199
831,no_station,ET070210
832,no_station,ET040116
833,no_station,ET140110
834,no_station,ET070614
835,no_station,ET041596
836,no_station,ET040106
837,no_station,ET040513
838,no_station,ET070621
839,no_station,ET010311
840,no_station,ET041301
841,no_station,ET020109
842,no_station,ET040609
843,no_station,ET041411
844,no_station,ET050306
845,no_station,ET030712
846,no_station,ET041016
847,G1045,ET020103
848,no_station,ET040208
849,no_station,ET040810
850,no_station,ET041517
851,no_station,ET030718
852,no_station,ET041606
853,no_station,ET030303
854,no_station,ET030307
855,no_station,ET041497
856,no_station,ET040203
857,no_station,ET050903
858,no_station,ET041223
859,no_station,ET040807
860,no_station,ET070606
861,no_station,ET031003
862,no_station,ET040418
863,G1603,ET120407
864,no_station,ET041004
865,no_station,ET042009
866,no_station,ET040110
867,no_station,ET040804
868,no_station,ET040998
869,no_station,ET040207
870,no_station,ET040301
871,no_station,ET072304
872,no_station,ET030901
873,no_station,ET160025
874,no_station,ET040519
875,no_station,ET050899
876,no_station,ET050608
877,no_station,ET040910
878,no_station,ET050702
879,no_station,ET041710
880,no_station,ET030401
881,no_station,ET041122
882,no_station,ET040902
883,no_station,ET040315
884,no_station,ET040823
885,no_station,ET010402
886,no_station,ET040706
887,no_station,ET030406
888,G5141,ET050902
889,no_station,ET060404
890,no_station,ET030104
891,no_station,ET070301
892,no_station,ET040416
893,no_station,ET070601
894,no_station,ET030902
895,no_station,ET010215
896,no_station,ET030412
897,no_station,ET040205
898,no_station,ET070507
899,no_station,ET040506
900,no_station,ET050303
901,no_station,ET041798
902,no_station,ET010310
903,no_station,ET030805
904,no_station,ET042012
905,no_station,ET030612
906,no_station,ET010504
907,no_station,ET040914
908,no_station,ET030601
909,no_station,ET050599
910,no_station,ET041807
911,no_station,ET030101
912,no_station,ET041513
913,no_station,ET050602
914,no_station,ET050999
915,no_station,ET160027
916,G4957,ET030209
917,no_station,ET072203
918,no_station,ET040602
919,no_station,ET071505
920,no_station,ET041013
921,no_station,ET050198
922,no_station,ET160009
923,no_station,ET120201
924,no_station,ET070309
925,G1074,ET040703
926,no_station,ET030519
927,no_station,ET041605
928,no_station,ET040909
929,no_station,ET070204
930,no_station,ET160008
931,no_station,ET030313
932,no_station,ET040822
933,no_station,ET051001
934,no_station,ET041492
935,no_station,ET020401
936,no_station,ET070710
937,no_station,ET160033
938,no_station,ET040511
939,no_station,ET041515
940,no_station,ET050199
941,G1067,ET020304
942,no_station,ET050402
943,no_station,ET041017
944,G5115,ET050901
945,no_station,ET041116
946,no_station,ET040818
947,no_station,ET041014
948,no_station,ET010303
949,no_station,ET071711
950,no_station,ET041594
951,no_station,ET120202
952,no_station,ET010602
953,G1603,ET120103
954,no_station,ET040704
955,no_station,ET040310
956,no_station,ET040102
957,no_station,ET071105
958,no_station,ET041712
959,no_station,ET070616
960,no_station,ET160026
961,no_station,ET010103
962,no_station,ET020110
963,no_station,ET040213
964,no_station,ET041908
965,no_station,ET010508
966,no_station,ET030906
967,no_station,ET030103
968,no_station,ET030807
969,no_station,ET041407
970,no_station,ET030397
971,no_station,ET040197
972,no_station,ET020404
973,no_station,ET030423
974,G1902,ET042103
975,G1901,ET071011
976,no_station,ET040105
977,no_station,ET071012
978,no_station,ET051198
979,no_station,ET070702
980,G1067,ET020502
981,no_station,ET030614
982,no_station,ET031120
983,no_station,ET010503
984,no_station,ET041311
985,no_station,ET050499
986,no_station,ET070912
987,no_station,ET050806
988,no_station,ET040518
989,no_station,ET150105
990,G5076,ET042102
991,no_station,ET071509
992,no_station,ET031121
993,G5081,ET042105
994,G4953,ET030703
995,no_station,ET030904
996,no_station,ET070101
997,no_station,ET040824
998,no_station,ET041307
999,no_station,ET040821
1000,no_station,ET030505
1001,no_station,ET060402
1002,no_station,ET071806
1003,no_station,ET030709
1004,no_station,ET041906
1005,no_station,ET070503
1006,G5068,ET041007
1007,no_station,ET050407
1008,no_station,ET031206
1009,no_station,ET041709
1010,no_station,ET051004
1011,no_station,ET040814
1012,no_station,ET041401
1013,no_station,ET042013
1014,no_station,ET030407
1015,no_station,ET050207
1016,no_station,ET041098
1017,no_station,ET050107
1018,no_station,ET050586
1019,no_station,ET030304
1020,no_station,ET040115
1021,no_station,ET041805
1022,no_station,ET050283
1023,no_station,ET060308
1024,no_station,ET030801
1025,no_station,ET010501
1026,no_station,ET010701
1027,no_station,ET051103
1028,no_station,ET041112
1029,G1901,ET070701
1030,no_station,ET010502
1031,no_station,ET031213
1032,no_station,ET030310
1033,no_station,ET070708
1034,no_station,ET040820
1035,no_station,ET060203
1036,no_station,ET010101
1037,G5173,ET041207
1038,no_station,ET070803
1039,no_station,ET060401
